,G547 N,G547 T,G576 N,G576 T,G652 N,G652 T,G659 N,G659 T,G691 N,G691 T,G696 N,G696 T,G699 N,G699 T,G761 N,G761 T,G850 N,G850 T,G871 N,G871 T,G701 N,G701 T,G013 N,G013 T,G603 N,G603 T,G026 N,G026 T,G220 N,G220 T,G575 N,G575 T,G613 N,G613 T,G702 N,G702 T,G623 N,G623 T,G645 N,G645 T,G529 N,G529 T,G648 N,G648 T,G601 N,G601 T,G727 N,G727 T,G001 N,G001 T,G243 N,G243 T,G531 N,G531 T,G612 N,G612 T,G428 N,G428 T,G699N_2*,G761T_2*
let-7a,865,3343,810,4990,5505,5193,6692,1464,1456,5342,588,434,9,1502,4513,34,1962,2390,10167,3996,4113,687,2610,1780,5008,1030,580,3459,667,2520,6731,314,3671,1512,3276,447,4910,2744,5876,37,3877,3174,7516,116,4930,1722,3755,68,267,12121,56824,14398,16115,39196,5293,198,38,1422,1028,213
let-7a*,3,12,12,99,30,15,73,12,6,32,2,0,0,18,199,4,10,19,173,22,30,1,105,58,71,18,21,732,7,88,738,42,1051,98,476,5,568,184,643,0,175,648,767,4,48,212,76,6,3,2,237,80,103,164,100,18,14,1,34,3
let-7b,975,4217,2790,41617,4912,5152,24286,2536,1759,4551,508,980,33,3398,6162,102,1455,2220,18110,5404,8862,995,12481,12729,21641,3030,8320,108332,918,6996,43582,938,33730,5685,40209,654,80226,15489,55768,99,31744,102358,71032,184,5486,28274,6932,401,1162,14471,59593,24097,15126,73139,5949,669,103,2492,4167,467
let-7b*,15,8,18,148,27,14,119,8,11,29,3,5,0,5,116,2,17,16,233,24,40,3,180,54,288,4,63,308,12,49,468,12,479,51,396,8,470,106,686,0,129,334,673,1,65,189,83,5,18,34,430,115,155,230,64,4,194,15,95,6
let-7c,828,519,1251,4664,2973,1274,6413,297,713,673,339,749,23,168,2002,28,476,584,3294,4118,5929,999,1816,2210,3278,1697,573,5775,303,2839,4670,130,2203,762,3096,157,5162,974,4537,34,3217,1711,5675,22,1411,3127,3477,199,371,3186,37225,1454,10206,5883,2966,167,25,321,1633,325
let-7c*,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0,0,8,0,2,20,0,2,0,6,0,1,1,18,0,6,4,11,0,1,2,5,0,1,0,4,1,0,1,0,0,0,0,1,0
let-7d,71,398,98,6649,364,248,1890,285,188,169,47,13,1,276,719,2,204,822,1425,109,507,40,621,3978,1078,32,1447,2618,35,84,3154,11,2124,1885,1684,197,5535,8359,2000,1,12669,2909,4874,6,380,2360,365,3,25,529,5420,2849,938,4937,362,21,96,154,114,11
let-7d*,3,1,24,15,8,2,41,1,8,2,2,2,0,2,38,0,18,2,77,26,19,5,88,13,187,6,36,74,20,21,287,0,222,20,242,4,294,15,264,0,73,95,250,4,40,35,51,21,7,14,265,26,61,18,26,2,1,0,113,6
let-7e,169,244,151,2374,788,556,5801,58,308,512,121,299,9,268,1912,20,204,220,2943,1631,1089,160,3255,990,5768,927,1319,9895,95,1342,11765,98,8011,278,9964,36,21923,1026,13716,172,4659,10326,14414,312,972,812,1498,38,33,4250,9734,942,2755,2388,733,69,4,25,282,153
let-7e*,0,0,1,6,1,1,7,0,1,3,0,0,0,1,14,0,1,0,4,1,9,3,10,1,22,2,3,38,1,4,68,0,65,0,38,1,42,1,84,0,8,53,78,2,5,2,5,0,0,1,20,2,15,7,3,0,0,0,0,0
let-7f,569,1739,192,16395,3497,5287,14486,627,1134,5631,358,117,1,1103,4252,24,1148,1619,8014,1209,5765,400,5662,3569,6324,341,2699,20389,402,736,23502,152,24312,3745,17660,312,37513,11095,12618,5,19134,26601,28917,58,3860,1905,2423,35,53,7172,40307,6143,7986,10385,2260,52,19,310,232,111
let-7f-1*,1,3,1,28,1,6,18,6,8,8,0,0,0,4,45,0,1,9,35,3,11,1,25,14,31,3,11,105,4,14,277,5,302,60,97,8,205,71,147,0,39,139,167,1,8,90,27,1,0,0,82,35,26,40,21,5,2,0,11,2
let-7f-2*,0,0,1,7,2,0,3,1,1,2,0,0,0,0,7,0,0,0,4,0,6,2,7,5,3,0,2,38,0,5,24,0,41,6,16,1,17,10,20,0,8,41,47,0,2,3,1,0,0,0,11,4,10,8,5,0,3,1,0,0
let-7g,447,737,173,4141,1922,3760,4062,253,493,3889,124,61,8,604,1045,24,421,274,2086,203,1704,117,2392,1305,1295,37,832,6886,57,197,4097,22,6926,1483,5677,104,8095,4956,3468,9,5823,8571,7199,8,1323,734,610,5,36,1407,17986,1463,2678,3444,455,13,126,2081,84,13
let-7g*,0,1,0,2,2,0,4,0,1,5,0,1,0,2,2,0,0,0,2,0,2,0,2,0,6,0,1,78,0,5,18,1,19,1,14,0,23,2,9,0,0,80,34,0,3,6,1,0,0,8,21,0,1,10,1,1,0,0,3,0
let-7i,241,1117,304,7563,912,2864,3867,539,447,1424,89,90,7,1284,639,15,386,574,1651,319,2958,206,3507,5536,4983,307,2923,23552,201,680,5654,114,5481,2937,8877,421,11665,7416,3662,13,3655,33659,5080,15,602,2609,738,132,174,9452,16844,5920,1555,5674,433,53,6,151,224,20
let-7i*,1,7,6,28,4,4,18,7,8,0,2,3,0,11,15,0,4,0,23,1,7,1,92,43,74,7,22,265,1,28,85,3,101,16,94,3,110,28,54,3,9,283,66,0,7,21,21,2,15,29,169,49,21,23,2,0,11,1,14,0
miR-1,151,13,71,111,352,39,3835,0,127,17,36,29,0,0,409,0,15,5,674,86,1046,146,1585,51,1713,24,199,296,1224,5,4498,0,7328,1,3462,4,11508,55,1345,0,255,1733,3989,2,294,31,447,14,9,179,10200,7,720,56,82,1,0,0,42,6
miR-100,233,41,169,945,686,59,351,7,54,17,12,4,41,13,425,2,17,33,429,40,88,5,304,718,537,6,819,282,9,114,969,6,1337,232,1122,16,902,821,1695,1,5285,1373,2893,3,364,893,268,7,648,22,6560,1593,918,511,226,5,1152,65,379,2
miR-100*,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,0,2,5,7,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0
miR-101,159,254,270,652,809,382,807,156,162,588,76,11,13,533,356,1,147,50,383,41,586,35,1462,604,317,19,522,1565,17,137,573,5,2641,283,1622,26,1783,580,1120,11,1110,2134,2397,7,547,629,137,17,30,348,4219,300,817,299,93,6,22,12,87,3
miR-101*,3,8,9,16,33,3,26,2,7,2,11,1,0,4,6,0,3,0,7,2,4,0,37,5,23,1,12,19,0,5,32,0,78,4,35,0,29,9,59,0,14,48,105,2,10,8,15,0,5,12,81,3,21,0,5,0,0,0,5,0
miR-103,7,114,20,120,33,59,51,81,63,87,8,2,0,86,129,6,138,81,127,28,46,2,100,46,6,10,2,57,4,24,13,12,17,90,95,8,20,63,32,3,29,92,19,1,218,199,55,0,3,181,51,21,11,123,12,0,1,0,17,5
miR-105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-105*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
miR-106a,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,4,55,47,9,5,6,15,0,0,0,3,0
miR-106a*,0,0,0,2,1,2,0,0,1,16,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,0,1,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0
miR-106b,8,28,20,142,16,61,68,22,8,67,1,0,1,35,38,0,88,53,66,3,51,3,105,51,43,5,65,1293,6,29,78,6,198,141,288,7,338,172,64,0,113,739,120,2,47,274,24,0,2,67,495,227,108,212,21,3,1,2,27,1
miR-106b*,2,289,5,13,9,9,7,3,0,4,1,1,0,12,25,1,17,7,23,3,12,1,17,13,26,1,6,229,6,20,32,3,42,20,53,2,38,33,33,1,9,84,45,1,23,20,18,1,1,25,44,19,14,31,13,6,1,0,17,1
miR-107,35,73,41,215,63,72,68,105,56,42,4,1,3,157,67,2,398,592,54,16,62,17,70,253,28,4,141,57,25,51,22,9,32,264,56,68,41,410,34,0,305,55,46,2,117,332,59,5,13,94,133,590,65,226,65,3,3,5,8,1
miR-10a,56,0,32,564,104,145,489,9,19,120,7,12,1,125,670,3,49,23,437,84,69,9,488,135,232,89,206,952,12,618,1095,10,702,96,1084,19,860,1111,376,2,3639,1558,1179,8,630,259,19,1,9,82,4055,131,1306,317,357,3,0,15,138,3
miR-10a*,0,2,0,3,8,2,6,1,2,3,2,0,0,1,145,0,2,0,48,1,1,0,15,7,37,2,4,14,3,7,160,1,34,3,32,0,19,17,64,0,34,31,228,0,22,0,5,1,0,0,42,2,32,4,84,0,0,0,6,0
miR-10b,101,22,77,536,203,45,2066,16,69,81,20,19,2,46,170,2,46,27,791,23,892,21,2390,187,951,42,501,1345,6,184,3147,7,3648,137,2455,14,6062,497,1894,5,5361,1408,5149,5,701,236,376,7,24,387,3569,58,815,425,159,5,19,1,57,3
miR-10b*,0,0,3,1,14,0,5,0,12,0,1,0,0,1,78,0,1,0,219,0,7,1,50,1,326,1,13,9,3,1,660,0,74,8,25,0,64,2,548,0,31,11,892,0,28,2,203,0,31,4,45,0,18,2,66,0,0,0,15,0
miR-122,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,5,1,0,1,0,2,55,1,1,23,11,0,0,0,0,3,2,1,14,2,0,1,0,7,3,6,0,0,12,0,1,0,7,1,28,1,8,1,0,0,0,1,0
miR-122*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1224-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
miR-1224-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,7,0,0,0,1,43,3,0,5,0,0,0,0,0,0,0
miR-1225-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
miR-1225-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
miR-1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0
miR-1228,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,2,17,0,1,0,0,4,5,9,0,2,7,3,0,0,16,0,0,0,3,1,1,0,0,2,2,0,2,0,0,0,0,0,0
miR-1228*,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,2,3,0,12,0,0,0,0,4,0,6,0,15,4,1,3,1,10,0,0,0,3,0,0,0,4,5,3,0,3,0,3,0,0,0,0
miR-1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miR-1233,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
miR-1236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
miR-1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,9,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
miR-124,1,8,3,10,0,1,0,0,0,2,0,0,0,3,0,0,0,0,27,0,1,1,0,3,1,0,2,8,0,3,0,0,24,2,8,0,0,14,1,0,5,12,3,0,1,0,0,0,12,685,16,3,0,3,0,0,0,0,1,0
